Date,US LT (20Y) Corporate Bonds (TR),US LT (20Y) Government Bonds (TR),US Intermediate-term (5Y) Government Bonds (TR),US (30-Day) Treasury Bills,AUSTRALIA Standard (Large+Mid Cap),EUROPE Standard (Large+Mid Cap),GERMANY Standard (Large+Mid Cap),HONG KONG Standard (Large+Mid Cap),JAPAN Standard (Large+Mid Cap),UNITED KINGDOM Standard (Large+Mid Cap),Gold Return,CANADA Standard (Large+Mid Cap),US Large-Cap Stocks (TR),US Small-Cap Stocks (TR)
Jan-70,0.0141,-0.0021,0.003,0.006,-0.0313,-0.0087,-0.0484,0.0552,-0.0158,-0.0074,-0.006,0.0245,-0.0743,-0.0608
Feb-70,0.0401,0.0587,0.0439,0.0062,-0.0115,-0.0311,-0.0293,0.0707,0.0123,-0.0536,0.0009,0.0444,0.0558,0.0387
Mar-70,-0.0045,-0.0068,0.0087,0.0057,-0.0034,0.0126,0.0088,0.0406,0.0406,0.0245,0.008,0.0102,0.0044,-0.0285
Apr-70,-0.025,-0.0413,-0.0207,0.005,-0.112,-0.0736,-0.0462,0.0042,-0.1211,-0.1023,0.0156,-0.1143,-0.0875,-0.1728
May-70,-0.0163,-0.0468,0.011,0.0053,-0.0648,-0.0535,-0.0939,-0.0276,-0.0266,-0.0504,-0.0112,-0.095,-0.0578,-0.1031
Jun-70,0.0001,0.0486,0.0061,0.0058,0.1292,0.0117,-0.0369,0.0485,0.0183,0.045,0.0011,0.0503,-0.0466,-0.0929
Jul-70,0.0556,0.0319,0.0152,0.0052,0.0319,0.0474,0.0609,0.0725,0.0021,0.037,-0.0054,0.0716,0.0769,0.0554
Aug-70,0.01,-0.0019,0.0116,0.0053,-0.0078,0.0074,0.0117,0.0422,-0.0107,-0.0025,0.0142,0.0454,0.0478,0.0949
Sep-70,0.0139,0.0228,0.0196,0.0054,0.0013,0.0108,-0.0163,-0.0167,-0.0115,0.0583,0.0168,0.0652,0.0362,0.1086
Oct-70,-0.0096,-0.0109,0.0095,0.0046,-0.0917,-0.0053,-0.015,-0.0292,0.0129,-0.0025,0.0234,-0.0139,-0.0083,-0.0706
Nov-70,0.0584,0.0791,0.0451,0.0046,-0.049,-0.0459,-0.0363,0.0456,-0.0288,-0.0686,0.0078,0.0476,0.0506,0.0137
Dec-70,0.0372,-0.0084,0.0054,0.0042,0.0123,0.0233,-0.0301,0.075,0.008,0.0623,-0.0043,0.027,0.0597,0.0726
Jan-71,0.0532,0.0506,0.0168,0.0038,-0.0226,0.0424,0.1435,0.049,0.0548,0.0028,0.0179,0.033,0.0432,0.1592
Feb-71,-0.0366,-0.0163,0.0224,0.0033,-0.0187,0.0029,0.0426,-0.0486,0.046,-0.0184,0.0197,-0.0016,0.0117,0.0317
Mar-71,0.0258,0.0526,0.0186,0.003,0.0551,0.0327,0.0093,0.0063,0.0825,0.0859,0.0021,0.0442,0.0394,0.0564
Apr-71,-0.0236,-0.0283,-0.0327,0.0028,-0.0364,0.0413,-0.061,0.0778,0.0518,0.1107,0.0211,-0.0025,0.0389,0.0247
May-71,-0.0161,-0.0006,0.0011,0.0029,-0.0281,0.0275,0.0474,0.0826,-0.0071,0.0368,0.0287,-0.0272,-0.0391,-0.0605
Jun-71,0.0107,-0.0159,-0.0187,0.0037,0.0092,0.0082,0.002,0.2143,0.0957,0.0171,-0.0181,-0.006,0.0033,-0.0319
Jul-71,-0.0025,0.003,0.0027,0.004,-0.04,0.0451,0.0519,-0.0106,0.0048,0.0671,0.0574,0.002,-0.0387,-0.0563
Aug-71,0.0554,0.0471,0.035,0.0047,-0.0341,-0.0012,-0.019,0.1864,-0.0661,0.0137,-0.0413,0.0396,0.0388,0.0583
Sep-71,-0.0102,0.0204,0.0026,0.0037,-0.0988,-0.0199,-0.011,0.0583,0.0331,0.001,0.048,-0.0087,-0.0044,-0.0226
Oct-71,0.0282,0.0167,0.022,0.0037,0.0045,-0.0334,-0.0756,-0.0264,-0.0393,-0.026,-0.0061,-0.048,-0.0392,-0.0551
Nov-71,0.0029,-0.0047,0.0052,0.0037,-0.0151,0.0271,0.0266,-0.2381,0.0696,0.0261,0.0298,-0.003,0.0002,-0.0373
Dec-71,0.0223,0.0044,0.011,0.0037,0.2325,0.0679,0.074,0.225,0.1286,0.0777,-0.0011,0.1156,0.0888,0.1144
Jan-72,-0.0033,-0.0064,0.0106,0.0029,-0.0311,0.0593,0.0727,-0.0098,0.0781,0.0551,0.0827,0.0465,0.0206,0.1130
Feb-72,0.0107,0.0088,0.0014,0.0025,0.1024,0.0543,0.0839,0.0368,0.0912,0.0612,0.0223,0.0337,0.0277,0.0296
Mar-72,0.0024,-0.0082,0.0015,0.0027,0.0332,0.0278,0.0517,0.0493,0.0536,0.0012,0.0037,0.002,0.0083,-0.0143
Apr-72,0.0035,0.0027,0.0014,0.0029,-0.0193,0.0189,-0.0261,0.1182,0.0504,0.0331,0.0252,0.0051,0.0068,0.0129
May-72,0.0163,0.027,0.0016,0.003,0.0434,0.0168,0.0295,0.0889,0.086,-0.0195,0.1986,0.0544,0.0197,-0.0191
Jun-72,-0.0068,-0.0065,0.0045,0.0029,0.0271,-0.0505,-0.0157,0.0529,0.0399,-0.0921,0.0875,0.0203,-0.0194,-0.0305
Jul-72,0.003,0.0216,0.0015,0.0031,-0.0563,0.0523,0.0571,0.0896,0.0854,0.0563,0.0565,-0.0031,0.0048,-0.0413
Aug-72,0.0072,0.0029,0.0015,0.0029,0.0064,0.0062,-0.0226,-0.0792,0.0247,0.0061,-0.0208,0.069,0.0369,0.0186
Sep-72,0.0031,-0.0083,0.0014,0.0034,-0.0319,-0.0589,-0.0359,0.0916,0.0453,-0.1098,-0.0401,-0.0056,-0.0025,-0.0349
Oct-72,0.0101,0.0234,0.0016,0.004,0.0612,-0.0019,-0.0202,0.2844,0.0322,-0.0029,0.003,-0.0206,0.0118,-0.0175
Nov-72,0.0249,0.0226,0.0045,0.0037,0.0318,0.0268,0.0147,0.0529,0.178,0.0704,-0.0123,0.047,0.0481,0.0592
Dec-72,-0.0004,-0.0229,0.0192,0.0037,0.0279,-0.0081,-0.0163,0.2797,0.0861,-0.0146,0.0204,0.0412,0.0142,-0.0214
Jan-73,-0.0054,-0.0321,-0.0006,0.0044,0.0332,0.0044,0.0635,0.1698,0.0168,-0.0639,0.0169,-0.0016,-0.0149,-0.0432
Feb-73,0.0023,0.0014,-0.0075,0.0042,0.0113,0.0695,0.0867,0.8783,0.084,0.0138,0.2879,-0.0212,-0.0352,-0.0799
Mar-73,0.0045,0.0082,0.0046,0.0046,-0.0015,0.028,0.0556,-0.2101,0.0026,-0.0012,0.0588,0.0023,0.0008,-0.0208
Apr-73,0.0061,0.0046,0.0064,0.0052,-0.0628,0.0052,-0.0529,-0.4217,-0.1108,0.0117,0.008,-0.0429,-0.0383,-0.0621
May-73,-0.0039,-0.0105,0.0057,0.0051,0.0834,0.0144,-0.059,0.0207,0.0258,0.0312,0.2649,-0.0389,-0.0163,-0.0811
Jun-73,-0.0056,-0.0021,-0.0006,0.0051,-0.0243,0.0383,0.1111,-0.1517,0.0176,-0.0047,0.0741,0.0208,-0.0040,-0.0290
Jul-73,-0.0476,-0.0433,-0.0276,0.0064,0.0189,-0.0534,-0.035,0.1064,0.0606,-0.0736,-0.0621,0.0555,0.0407,0.1194
Aug-73,0.0356,0.0391,0.0254,0.007,-0.1095,-0.0424,-0.0351,-0.142,-0.0474,-0.0554,-0.1047,-0.0024,-0.0341,-0.0445
Sep-73,0.0356,0.0318,0.025,0.0068,-0.0311,0.0211,0.004,-0.1023,-0.0539,0.0157,-0.0338,0.0335,0.0427,0.1064
Oct-73,-0.0066,0.0215,0.005,0.0065,0.0586,0.0262,0.0589,0.1542,-0.0051,0.0355,-0.02,0.0742,0.0017,0.0084
Nov-73,0.0078,-0.0183,0.0064,0.0056,-0.0852,-0.1514,-0.1704,-0.1515,-0.1375,-0.149,0.0306,-0.0963,-0.1109,-0.1962
Dec-73,-0.0089,-0.0082,0.004,0.0064,-0.0118,-0.0318,-0.0467,-0.163,-0.0552,-0.0547,0.1114,-0.0076,0.0198,-0.0014
Jan-74,-0.0053,-0.0083,0.0009,0.0063,0.1311,-0.0016,0.0489,0.0561,-0.0055,-0.0423,0.1804,0.0317,-0.0072,0.1326
Feb-74,0.0009,-0.0024,0.0035,0.0058,0.0924,0.0308,-0.0303,-0.1493,0.0406,0.0694,0.2264,0.0389,-0.0007,-0.0085
Mar-74,-0.0307,-0.0292,-0.0212,0.0056,-0.0618,-0.0407,0.0551,-0.1144,0.0169,-0.1604,0.0646,-0.0231,-0.0205,-0.0074
Apr-74,-0.0341,-0.0253,-0.0152,0.0075,-0.0373,0.0429,0.0793,-0.1001,0.0149,0.0805,-0.0217,-0.071,-0.0359,-0.0464
May-74,0.0105,0.0123,0.013,0.0075,-0.1458,-0.0777,-0.0614,0.3193,0.036,-0.1016,-0.0739,-0.0773,-0.0302,-0.0793
Jun-74,-0.0285,0.0045,-0.0087,0.006,-0.0608,-0.0517,-0.0351,-0.0018,-0.0353,-0.0951,-0.0797,-0.0344,-0.0113,-0.0147
Jul-74,-0.0211,-0.0029,0.0007,0.007,-0.1564,-0.0109,-0.0202,-0.1581,-0.0995,-0.0637,0.0815,0.0164,-0.0742,-0.0219
Aug-74,-0.0268,-0.0232,-0.0012,0.006,-0.0196,-0.1031,-0.0218,-0.2252,-0.1101,-0.1458,0,-0.0981,-0.0864,-0.0681
Sep-74,0.0174,0.0247,0.0319,0.0081,-0.2936,-0.0972,-0.0445,-0.1805,0.0108,-0.1172,-0.0304,-0.1018,-0.1152,-0.0653
Oct-74,0.0885,0.0489,0.0109,0.0051,0.2528,0.044,0.0584,0.0678,-0.0834,0.0371,0.1041,0.1096,0.1681,0.1063
Nov-74,0.0117,0.0296,0.0236,0.0054,0.0411,0.0013,0.0954,-0.2015,0.1037,-0.1532,0.1018,-0.0859,-0.0488,-0.0438
Dec-74,-0.0075,0.0171,0.0185,0.007,-0.0396,0.0072,0.0402,-0.0023,-0.0407,0.0229,0.0136,0.0068,-0.0156,-0.0788
Jan-75,0.0596,0.0225,0.0053,0.0058,0.2302,0.2348,0.1292,0.3453,0.0504,0.5605,-0.0574,0.1558,0.1272,0.2767
Feb-75,0.0137,0.0131,0.0148,0.0043,0.0187,0.1315,0.1354,0.1442,0.1458,0.2667,0.0338,0.0273,0.0638,0.0285
Mar-75,-0.0247,-0.0267,-0.0059,0.0041,-0.0187,-0.0314,-0.0123,0.0575,0.0249,-0.0832,-0.0248,-0.0285,0.0254,0.0618
Apr-75,-0.0052,-0.0182,-0.0186,0.0044,-0.0171,0.0717,0.0182,0.1309,0.0025,0.1548,-0.0578,0.0151,0.0510,0.0531
May-75,0.0106,0.0212,0.026,0.0044,0.1021,-0.0156,-0.0589,-0.0069,-0.005,0.0332,0,0.021,0.0477,0.0663
Jun-75,0.0304,0.0292,0.0027,0.0041,-0.0288,-0.0639,0.0041,0.0038,0.011,-0.1562,-0.0045,0.0251,0.0477,0.0750
Jul-75,-0.003,-0.0087,-0.003,0.0048,-0.02,-0.0379,-0.0058,-0.063,-0.051,-0.0456,0.0027,-0.0082,-0.0644,-0.0254
Aug-75,-0.0175,-0.0068,-0.0009,0.0048,-0.0347,0.0214,-0.0495,-0.0197,-0.0444,0.1298,-0.0414,-0.0086,-0.0176,-0.0574
Sep-75,-0.0126,-0.0098,0.001,0.0053,0.0679,-0.0492,-0.0441,0.0272,-0.0633,-0.0138,-0.1161,-0.0488,-0.0312,-0.0182
Oct-75,0.0553,0.0475,0.0366,0.0056,0.0292,0.0805,0.1277,0.0253,0.1077,0.0584,0.0117,-0.0433,0.0653,-0.0050
Nov-75,-0.0088,-0.0109,-0.001,0.0041,0.0683,0.0262,0.0242,0.0644,0.0085,-0.0185,-0.0332,0.0806,0.0282,0.0320
Dec-75,0.0442,0.039,0.0198,0.0048,0.0311,0.0215,0.0125,0.1097,0.0112,0.0471,0.0152,-0.0342,-0.0081,-0.0197
Jan-76,0.0188,0.009,0.0057,0.0047,0.0172,0.0436,0.0225,0.2004,0.0615,0.0981,-0.0863,0.1086,0.1217,0.2684
Feb-76,0.0061,0.0062,0.0084,0.0034,0.0166,-0.0196,0.0169,0.0697,0.0069,-0.0326,0.0324,0.0542,-0.0084,0.1390
Mar-76,0.0167,0.0166,0.0075,0.004,-0.0233,-0.0267,0.0392,0.0445,-0.0004,-0.0602,-0.0204,-0.0125,0.0337,-0.0015
Apr-76,-0.0015,0.0018,0.0116,0.0042,0.0235,-0.012,-0.0597,-0.0654,0.0064,0.0004,-0.0093,0.0178,-0.0078,-0.0359
May-76,-0.0103,-0.0158,-0.0145,0.0037,0.0103,-0.0461,-0.0303,-0.0506,0.0055,-0.1045,-0.0226,0.0069,-0.0111,-0.0361
Jun-76,0.015,0.0208,0.0159,0.0043,0.0134,-0.0021,0.016,0.0294,0.0499,0.0011,-0.0135,-0.006,0.0443,0.0459
Jul-76,0.0149,0.0078,0.0119,0.0047,0.1021,-0.0181,-0.0087,-0.0224,-0.0186,-0.0327,-0.0913,-0.0139,-0.0048,0.0045
Aug-76,0.0231,0.0211,0.0189,0.0042,-0.0028,-0.0209,0.0023,0.0285,0.035,-0.0496,-0.0756,-0.0086,-0.0018,-0.0290
Sep-76,0.0167,0.0145,0.0076,0.0044,-0.0806,-0.0267,0.0477,-0.0072,0.0053,-0.1144,0.1154,-0.0118,0.0258,0.0104
Oct-76,0.007,0.0084,0.0147,0.0041,-0.0599,-0.0735,-0.0614,-0.0455,-0.0524,-0.1315,0.0616,-0.036,-0.0186,-0.0209
Nov-76,0.0319,0.0339,0.0321,0.004,-0.21,0.0446,0.054,0.0512,-0.0112,0.1031,0.0577,-0.1247,-0.0041,0.0404
Dec-76,0.0347,0.0327,0.0026,0.004,0.1157,0.0871,0.0261,0.1419,0.1523,0.2242,0.0326,0.1387,0.0561,0.1180
Jan-77,-0.0303,-0.0388,-0.019,0.0036,0.0177,0.007,-0.0177,-0.0322,-0.0299,0.0953,-0.0164,-0.0293,-0.0473,0.0450
Feb-77,-0.002,-0.0049,0.0048,0.0035,-0.0301,0.0092,-0.0154,-0.0202,0.0512,0.0237,0.079,-0.008,-0.0182,-0.0039
Mar-77,0.0094,0.0091,0.0055,0.0038,0.0592,0.0076,0.0336,-0.0285,-0.0097,0.0328,0.0431,0.0079,-0.0105,0.0131
Apr-77,0.01,0.0071,0.0051,0.0038,-0.0113,0.0371,0.085,0.0546,0.0184,0.034,-0.0111,-0.0224,0.0042,0.0228
May-77,0.0106,0.0125,0.0056,0.0037,0.0451,-0.0067,-0.0207,-0.0276,-0.0063,0.0253,-0.0292,-0.0179,-0.0196,-0.0028
Jun-77,0.0175,0.0164,0.0102,0.004,-0.0032,0.0127,-0.0193,0.0094,0.0394,0.0309,0.0003,0.0421,0.0494,0.0772
Jul-77,-0.0005,-0.007,0.0001,0.0042,-0.0547,-0.015,0.0338,-0.045,-0.012,-0.0155,0.0077,-0.0037,-0.0124,0.0030
Aug-77,0.0136,0.0198,0.0008,0.0044,-0.0485,0.045,0.0057,0.0247,0.0528,0.1188,0.0132,-0.0414,-0.0172,-0.0107
Sep-77,-0.0022,-0.0029,0.0015,0.0043,-0.0005,0.0432,0.0189,-0.0284,0.0142,0.0836,0.0551,0.0051,0.0016,0.0092
Oct-77,-0.0038,-0.0093,-0.006,0.0049,0.074,0.0254,0.0547,-0.0074,0.0195,0.0166,0.0484,-0.0681,-0.0390,-0.0330
Nov-77,0.0061,0.0093,0.0079,0.005,-0.027,-0.0166,0.0197,0.007,0.0028,-0.0527,-0.009,0.0586,0.0316,0.1086
Dec-77,-0.0105,-0.0168,-0.0023,0.0049,0.0901,0.0539,0.0494,-0.0269,0.0071,0.0664,0.0306,0.0592,0.0075,0.0081
Jan-78,-0.0089,-0.008,0.0013,0.0049,-0.0481,-0.0013,0.0124,0.0043,0.0421,-0.027,0.0655,-0.0727,-0.0574,-0.0189
Feb-78,0.0051,0.0004,0.0017,0.0046,-0.055,-0.0023,0.04,0.0145,0.0379,-0.0545,0.037,-0.0023,-0.0203,0.0347
Mar-78,0.0042,-0.0021,0.0037,0.0053,0.0567,0.0346,0.0036,0.0949,0.1294,0.0264,-0.0036,0.0451,0.0294,0.1032
Apr-78,-0.0023,-0.0005,0.0024,0.0054,0.064,-0.0149,-0.0515,0.0039,-0.0064,-0.0024,-0.0592,0.0187,0.0902,0.0788
May-78,-0.0108,-0.0058,-0.0002,0.0051,0.0487,0.0246,0.0065,0.0182,0.0091,0.0415,0.0778,0.0567,0.0092,0.0820
Jun-78,0.0023,-0.0062,-0.0021,0.0054,-0.003,0.0077,0.0288,0.2161,0.0939,-0.0118,-0.006,-0.0059,-0.0138,-0.0189
Jul-78,0.0101,0.0143,0.0098,0.0056,0.0666,0.0755,0.054,0.0506,0.1042,0.103,0.094,0.0559,0.0583,0.0684
Aug-78,0.0257,0.0218,0.0079,0.0056,0.063,0.0348,0.0435,0.1706,-0.015,0.0273,0.0422,0.0198,0.0301,0.0939
Sep-78,-0.0048,-0.0106,0.0057,0.0062,0.0419,0.041,0.0561,-0.0657,0.0221,0.013,0.0402,0.0354,-0.0032,-0.0032
Oct-78,-0.0205,-0.02,-0.0112,0.0068,-0.0443,0.047,0.1009,0.0489,0.0776,0.0273,0.1175,-0.0454,-0.0872,-0.2427
Nov-78,0.0134,0.0189,0.0092,0.007,-0.052,-0.0876,-0.1149,-0.2847,-0.0923,-0.048,-0.2028,0.058,0.0215,0.0732
Dec-78,-0.0133,-0.013,0.0063,0.0078,0.0621,0.0504,0.0577,-0.0147,0.0486,0.0318,0.1686,0.0283,0.0196,0.0168
Jan-79,0.0184,0.0191,0.0055,0.0077,0.0404,0.0045,-0.016,0.1178,-0.0035,-0.0062,0.0341,0.0233,0.0443,0.1321
Feb-79,-0.0128,-0.0135,-0.0059,0.0073,0.0327,0.0179,-0.0221,-0.0413,-0.0385,0.086,0.0753,0.0238,-0.0321,-0.0282
Mar-79,0.0107,0.0129,0.0112,0.0081,0.0121,0.0641,-0.0216,-0.0034,-0.0356,0.1514,-0.0446,0.101,0.0596,0.1120
Apr-79,-0.0052,-0.0112,0.0033,0.008,-0.0342,0.0134,-0.0173,-0.0041,-0.0311,0.0489,0.0217,0.0277,0.0063,0.0387
May-79,0.0228,0.0261,0.0193,0.0082,0.0307,-0.0504,-0.0513,0.0363,0.0151,-0.0704,0.1194,0.0265,-0.0217,0.0035
Jun-79,0.0269,0.0311,0.0205,0.0081,-0.014,0.0291,0.0076,-0.0453,0.0066,0.0046,0.0106,0.0696,0.0435,0.0472
Jul-79,-0.0031,-0.0085,-0.0011,0.0077,0.0312,0.0148,0.044,0.1164,-0.0029,0.0086,0.0683,-0.0473,0.0134,0.0171
Aug-79,0.0006,-0.0035,-0.0091,0.0077,0.1204,0.03,0.0199,-0.0154,0.0037,0.0249,0.0629,0.1017,0.0577,0.0756
Sep-79,-0.0179,-0.0122,0.0006,0.0083,0.0692,0.0504,0.05,0.2019,0.0189,0.0182,0.2607,0.0649,0.0043,-0.0344
Oct-79,-0.089,-0.0841,-0.0468,0.0087,-0.0142,-0.0901,-0.0833,-0.0095,-0.0776,-0.1039,-0.0384,-0.103,-0.0640,-0.1154
Nov-79,0.0222,0.0311,0.0363,0.0099,-0.027,0.0411,0.0541,0.1314,-0.0401,0.0435,0.0881,0.089,0.0475,0.0858
Dec-79,-0.0108,0.0057,0.0087,0.0095,0.1227,0.0022,-0.0049,0.1728,0.063,-0.0016,0.2318,0.0648,0.0214,0.0588
Jan-80,-0.0645,-0.0741,-0.0135,0.008,0.2068,0.0492,-0.0064,0.0502,0.0198,0.1067,0.2754,0.1462,0.0622,0.0836
Feb-80,-0.0665,-0.0467,-0.0641,0.0089,0.0259,0.0118,0.0049,-0.0043,-0.0391,0.0574,-0.0245,0.1333,-0.0001,-0.0284
Mar-80,-0.0062,-0.0315,0.0143,0.0121,-0.1819,-0.1432,-0.1548,-0.1762,-0.0282,-0.1329,-0.2237,-0.2204,-0.0972,-0.1778
Apr-80,0.1376,0.1523,0.1198,0.0126,0.0699,0.1009,0.115,0.1524,0.0814,0.0804,0.0475,0.034,0.0462,0.0694
May-80,0.056,0.0419,0.049,0.0081,0.1403,0.026,0.0361,0.0329,0.0594,0.0086,0.0338,0.0868,0.0515,0.0750
Jun-80,0.0341,0.0359,-0.0077,0.0061,0.0747,0.0709,0.0392,0.1792,0.0388,0.1259,0.2204,0.0727,0.0316,0.0452
Jul-80,-0.0429,-0.0476,-0.0106,0.0053,-0.0008,0.0145,0.0064,0.1104,-0.0498,0.029,-0.0601,0.0409,0.0696,0.1323
Aug-80,-0.0445,-0.0432,-0.0387,0.0064,0.0575,0.008,-0.0242,0.0642,0.0663,0.0237,0.0277,0.0165,0.0101,0.0604
Sep-80,-0.0237,-0.0262,-0.0038,0.0075,0.0591,0.0158,-0.0088,-0.0165,0.0656,0.0281,0.0562,-0.0063,0.0294,0.0418
Oct-80,-0.0159,-0.0263,-0.0152,0.0095,0.066,0.0346,-0.0735,0.243,0.0241,0.0869,-0.0566,-0.0293,0.0202,0.0333
Nov-80,0.0017,0.01,0.0029,0.0096,-0.0273,-0.0131,0.0057,-0.0453,-0.0323,-0.019,-0.0147,0.04,0.1065,0.0766
Dec-80,0.0248,0.0352,0.0171,0.0131,-0.0088,-0.041,-0.0421,0.0308,0.07,-0.0457,-0.0484,-0.058,-0.0302,-0.0338
Jan-81,-0.013,-0.0115,0.0032,0.0104,-0.1048,-0.0392,-0.0915,0.0446,0.0195,-0.0065,-0.1412,-0.0092,-0.0418,0.0207
Feb-81,-0.0269,-0.0436,-0.0235,0.0107,-0.041,-0.0099,-0.0072,-0.0732,-0.0145,-0.0329,-0.0346,-0.0223,0.0174,0.0094
Mar-81,0.0311,0.0384,0.0263,0.0121,0.1045,0.0188,0.0469,-0.0825,0.0597,0.0132,0.0506,0.0768,0.0400,0.0943
Apr-81,-0.0769,-0.0518,-0.0216,0.0108,-0.0116,-0.0108,-0.0055,0.0347,0.0726,0.0248,-0.0603,-0.0211,-0.0193,0.0657
May-81,0.0595,0.0622,0.0245,0.0115,-0.0081,-0.0806,-0.0759,0.1708,-0.0258,-0.0809,-0.0073,0.0359,0.0026,0.0422
Jun-81,0.0023,-0.0179,0.006,0.0135,-0.0164,-0.0241,0.0361,0.0183,0.0351,-0.0416,-0.1111,0,-0.0063,0.0076
Jul-81,-0.0372,-0.0353,-0.027,0.0124,-0.1113,-0.0287,-0.0256,-0.0607,-0.037,-0.0363,-0.0469,-0.0674,0.0021,-0.0316
Aug-81,-0.0345,-0.0386,-0.0178,0.0128,0.006,0.0278,-0.0148,-0.06,0.0386,0.0433,0.0468,0.0023,-0.0577,-0.0684
Sep-81,-0.0199,-0.0145,0.0164,0.0124,-0.0933,-0.0945,-0.0079,-0.2744,-0.0946,-0.18,0.0088,-0.1454,-0.0493,-0.0733
Oct-81,0.0521,0.0829,0.0611,0.0121,-0.0592,0.039,0.0301,0.0508,-0.0011,0.0554,-0.0041,-0.025,0.0540,0.0742
Nov-81,0.1267,0.141,0.0624,0.0107,0.0963,0.1216,0.0563,0.1771,0.0909,0.1921,-0.0293,0.1321,0.0413,0.0276
Dec-81,-0.058,-0.0713,-0.0142,0.0087,-0.016,-0.0339,-0.0441,-0.0385,0.016,-0.0419,-0.041,-0.0487,-0.0256,-0.0220
Jan-82,-0.0129,0.0046,0.005,0.008,-0.1106,0.0143,-0.0098,-0.011,-0.0169,0.0471,-0.0264,-0.0881,-0.0131,-0.0196
Feb-82,0.0312,0.0182,0.0148,0.0092,-0.107,-0.0392,-0.0125,-0.1238,-0.0798,-0.073,-0.063,-0.0776,-0.0559,-0.0296
Mar-82,0.0306,0.0231,0.0042,0.0098,-0.0769,-0.0033,0.011,-0.0681,-0.0962,0.016,-0.1175,-0.0601,-0.0052,-0.0086
Apr-82,0.0338,0.0373,0.0299,0.0113,0.1271,0.0301,0.0355,0.1743,0.0888,0.0241,0.1289,-0.0084,0.0452,0.0383
May-82,0.0245,0.0034,0.0146,0.0106,-0.0145,-0.0013,-0.0221,0.0931,-0.0385,0.0321,-0.0997,-0.0206,-0.0341,-0.0248
Jun-82,-0.0468,-0.0223,-0.0135,0.0096,-0.0879,-0.0812,-0.0674,-0.1226,-0.0604,-0.0641,-0.0238,-0.1355,-0.0150,-0.0159
Jul-82,0.054,0.0501,0.0464,0.0105,-0.0357,0.0206,0.0018,-0.0686,-0.0374,0.035,0.08,0.0647,-0.0178,-0.0015
